food_id,food_name_original,food_name_normalized,source,source_url,category_original,category_normalized,water_g,energy_kcal,protein_g,fat_g,carbohydrate_g,fiber_g,ash_g,calcium_mg,phosphorus_mg,iron_mg,sodium_mg,potassium_mg,copper_mg,zinc_mg,retinol_mcg,beta_carotene_mcg,carotene_total_mcg,vitamin_a_mcg,vitamin_b1_mg,vitamin_b2_mg,niacin_mg,vitamin_c_mg,edible_portion_percent,unit_basis,scraped_at,cleaned_at,missing_nutrient_count,completeness_score,notes
tkpi_0032,"Jagung kuning, tepung","jagung kuning, tepung",TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,12.0,355.0,9.2,3.9,73.7,7.2,1.2,10.0,256.0,2.4,11.0,24.4,0.23,1.7,,0.0,510.0,,0.38,0.02,0.3,,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,4,0.8261,
tkpi_0033,"Jagung kuning pipil, rebus","jagung kuning pipil, rebus",TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,63.7,154.0,3.8,3.5,28.4,0.7,0.6,7.0,171.0,0.5,5.0,56.4,0.1,4.4,,818.0,234.0,,0.08,0.1,1.7,0.0,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,3,0.8696,
tkpi_0034,Tepung jagung putih,tepung jagung putih,TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,12.0,355.0,9.2,3.9,73.7,7.2,1.2,10.0,256.0,2.4,11.0,24.4,0.23,1.7,,0.0,0.0,,0.38,0.02,0.3,,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,4,0.8261,
tkpi_0035,Ketupat ketan,ketupat ketan,TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,52.0,212.0,4.0,4.6,38.6,0.2,0.9,8.0,46.0,1.0,,,,,0.0,0.0,0.0,,0.07,,0.2,0.0,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,7,0.6957,
tkpi_0036,"Ketan hitam, matang","ketan hitam, matang",TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,56.9,181.0,4.0,1.2,37.3,0.3,0.6,9.0,144.0,1.7,9.0,18.4,0.1,0.7,0.0,0.0,0.0,,0.06,0.0,0.5,0.0,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,2,0.913,
tkpi_0037,Tapai ketan hitam,tapai ketan hitam,TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,50.2,166.0,3.8,1.0,34.4,0.3,0.6,8.0,106.0,1.6,5.0,12.0,,,,,0.0,,0.02,,,0.0,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,8,0.6522,Ketan hitam matang yang difermentasi 2-3 hari dengan ragi dibungkus daun pisang
tkpi_0038,"Ketan putih, matang","ketan putih, matang",TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,60.7,163.0,3.0,0.4,35.7,0.2,0.2,4.0,55.0,0.7,8.0,16.8,0.1,0.7,0.0,0.0,0.0,,0.07,0.0,0.5,0.0,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,2,0.913,
tkpi_0039,Tapai ketan putih,tapai ketan putih,TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,58.9,172.0,3.0,0.5,37.5,0.6,0.1,6.0,35.0,0.5,1.0,,,,0.0,0.0,0.0,,0.04,0.0,0.2,0.0,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,5,0.7826,Ketan putih matang  yang difermentasi 2-3 hari dengan ragi dibungkus daun pisang
tkpi_0040,"Maizena, tepung","maizena, tepung",TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,14.0,341.0,0.3,0.0,85.0,7.0,0.7,20.0,30.0,1.5,6.0,9.0,0.22,1.6,0.0,0.0,0.0,,0.0,0.09,1.3,0.0,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,2,0.913,
tkpi_0041,"Makaroni, mentah","makaroni, mentah",TKPI,https://www.panganku.org/id-ID/view,Serealia,serealia,11.7,353.0,8.7,0.4,78.7,4.9,2.5,20.0,80.0,0.3,5.0,0.0,0.28,1.4,,,0.0,,0.1,0.13,2.2,0.0,,per 100g,2026-07-01T04:14:08.471742Z,2026-07-01T04:14:08.471742Z,4,0.8261,
